$ lsmod
---
Module                  Size  Used by
hp_bioscfg             94208  0
rapl                   20480  0
ptp                    57344  1 iwlmvm
btbcm                  24576  1 btusb
processor_thermal_rfim    40960  1 processor_thermal_device
typec_ucsi             90112  1 ucsi_acpi
snd_timer              57344  3 snd_seq,snd_hrtimer,snd_pcm
pps_core               32768  1 ptp
spi_nor               180224  0
btintel                77824  1 btusb
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
i2c_i801               36864  0
videobuf2_common       98304  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
firmware_attributes_class    12288  1 hp_bioscfg
intel_cstate           20480  0
roles                  16384  1 typec_ucsi
libarc4                12288  1 mac80211
mei_wdt                16384  0
mei_pxp                20480  0
mei_hdcp               28672  0
aead                   16384  4 ccm,algif_aead,mac80211,aesni_intel
iwlwifi               626688  1 iwlmvm
btrtl                  32768  1 btusb
intel_uncore          294912  0
pcspkr                 12288  0
intel_wmi_thunderbolt    12288  0
hp_wmi                 49152  0
typec                 135168  1 typec_ucsi
wmi_bmof               12288  0
videodev              438272  2 videobuf2_v4l2,uvcvideo
mtd                   122880  3 spi_nor
snd                   159744  27 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_soc_sdw_utils,snd_hda_codec_alc269,snd_soc_core,snd_pcm
i2c_smbus              20480  1 i2c_i801
platform_temperature_control    20480  1 processor_thermal_device
i2c_hid_acpi           12288  0
intel_oc_wdt           12288  0
soundcore              16384  2 snd_ctl_led,snd
i2c_mux                20480  1 i2c_i801
bluetooth            1183744  44 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mc                     94208  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
i2c_hid                49152  1 i2c_hid_acpi
int3403_thermal        16384  0
soc_button_array       24576  0
intel_pmc_core        139264  0
processor_thermal_rapl    20480  1 processor_thermal_device
pinctrl_cannonlake     36864  2
cfg80211             1601536  3 iwlmvm,iwlwifi,mac80211
thunderbolt           614400  1 typec
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
intel_hid              32768  0
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
pmt_discovery          24576  1 pmt_telemetry
